#Function,Value_1,length_1,A(ax+b),B(ax+b),unsigned,round,Min,Max,Bar_1
FuelCloseLoop,Bool,1,1,0,1,0,0,1,0
PowerEnrich,Bool,1,1,0,1,0,0,1,0
FrontRich1,Bool,1,1,0,1,0,0,1,0
FrontRich2,Bool,1,1,0,1,0,0,1,0
FuelPump,Bool,1,1,0,1,0,0,1,0
O2HeaterOn,Bool,1,1,0,1,0,0,1,0
Key,Bool,1,1,0,1,0,0,1,0
MIL,Bool,1,1,0,1,0,0,1,0
NV-Fail,Bool,1,1,0,1,0,0,1,0
IdleSwitch,Bool,1,1,0,1,0,0,1,0
CID,Bool,1,1,0,1,0,0,1,0
MAP-Learn,Bool,1,1,0,1,0,0,1,0
ActualMAP,kpa,2,0.00390625,0,1,1,0,256,1
ActualVaccum,kpa,2,0.00390625,0,1,1,0,256,0
ExpMAP,kpa,2,0.00390625,0,1,1,0,256,1
ALTMAP,kpa,2,0.00390625,0,1,1,0,256,0
ALTEXPMAP,kpa,2,0.00390625,0,1,1,0,256,0
PredMAP,kpa,2,0.00390625,0,1,1,0,256,0
MAPCorRation,ratio,2,3.05E-05,0,1,3,0,2,0
MAPLrnCell,Cell,1,1,0,1,0,0,256,0
MAPReadAngle,Deg,2,0.015625,0,1,1,0,1024,0
Battery,V,2,0.000488281,0,1,2,0,32,0
IAT,^C,2,0.0078125,0,0,1,-256,256,0
CLT,^C,2,0.0078125,0,0,1,-256,256,0
SpkAngle,Deg,2,0.0078125,0,0,1,-256,256,1
EngineSpeed,RPM,2,0.25,0,1,0,0,16384,1
FuelPulseWidth,mS,2,0.015625,0,1,2,0,1024,0
CylFuelMass,g,2,1.53E-05,0,1,3,0,1,0
SpdLrn P,%,2,0.003051758,0,1,1,0,200,0
SpdLrn I,%,2,0.006103516,0,0,1,-200,200,0
SpdLrn D,%,2,0.006103516,0,0,1,-200,200,0
SpdLrnTotal,%,2,0.003051758,0,1,1,0,200,1
TargetEngSpd,RPM,2,0.25,0,1,0,0,16384,0
FrontO2,mV,2,0.015625,0,1,1,0,1024,1
CLFuelLrn,cnt,2,1,0,0,0,-32768,32768,1
AFR,ratio,2,0.000488281,0,1,2,0,32,0
Baro,kpa,2,0.00390625,0,1,1,0,256,0
RunTime,s,2,1,0,1,0,0,65536,0
VE,%,2,0.003051758,0,1,1,0,200,1
IntakePortTemp,C,2,0.0078125,0,0,1,-256,256,0
CylAirFlow,g/s,2,0.0078125,0,1,2,0,512,0
ActualTPS,%,2,0.003051758,0,1,1,0,200,1
TargetTPS,%,2,0.003051758,0,1,1,0,200,0
CurFault,hex,2,1,0,1,0,0,65536,0
SpdCntlState,INFO_1,1,1,0,1,0,0,256,0
InjFlowRate,g/s,2,0.000244141,0,1,3,0,16,0
ActualTorque,NM,2,0.00390625,0,1,0,-128,128,0
O2Threshold,mV,2,0.015625,0,1,1,0,1024,0
O2Ready,Bool,1,1,0,1,0,0,256,0
Dwell,ms,2,0.015625,0,1,2,0,1024,0
TargetAirFlow,g/s,2,0.0078125,0,1,2,0,512,0
CylAirMass,g,2,6.10E-05,0,1,3,0,4,0
FuelMassFlow,g/s,2,0.000244141,0,1,2,0,16,1
RSV,RSV,20,0,0,1,0,0,1.46E+48,0
